file;avg_area;med_area;std_area;min_area;max_area;avg_n_vert;med_n_vert;std_n_vert;avg_perim;med_perim;std_perim;avg_compac;med_compac;std_compac;avg_elong;med_elong;std_elong;avg_round;med_round;std_round;avg_convex;med_convex;std_convex;nber_concave_poly;avg_solid;med_solid;std_solid;avg_rect;med_rect;std_rect;nber_poly_with_hole;nber_plots
alpha_plots;44279.355;38910.46;40330.039;599.909;182154.405;83.515;79;55.423;989.889;904;923.561;0.591;0.664;0.235;0.596;0.596;0.239;0.624;0.689;0.226;0.961;0.985;0.057;99;0.844;0.953;0.228;0.692;0.75;0.22;0;99
raw_plots;51869.925;44344.31;49943.245;504.943;233930.8;569.194;415;819.842;1992.537;1374.5;2845.764;0.281;0.336;0.159;0.604;0.596;0.232;0.562;0.65;0.235;0.67;0.719;0.13;108;0.757;0.878;0.265;0.62;0.684;0.241;23;108
generalized_plots;51311.8;44151.72;49146.822;412.693;213336.59;13.222;8;19.824;1449.269;984.5;2023.009;0.498;0.595;0.265;0.598;0.595;0.236;0.566;0.647;0.231;0.896;0.991;0.159;76;0.813;0.962;0.28;0.647;0.708;0.251;23;108
