;1982;avg_area;med_area;std_area;min_area;max_area;avg_n_vert;med_n_vert;std_n_vert;avg_perim;med_perim;std_perim;avg_compac;med_compac;std_compac;avg_elong;med_elong;std_elong;avg_round;med_round;std_round;avg_convex;med_convex;std_convex;nber_concave_poly;avg_solid;med_solid;std_solid;avg_rect;med_rect;std_rect;nber_poly_with_hole;nber_plots
delft_1982;std_n_vert;189.817;19.303;3.316;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;avg_perim;397.658;250.087;261.746;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;med_perim;362;236;257.5;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;std_perim;280.071;151.252;147.816;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;avg_compac;0.267;0.608;0.569;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;med_compac;0.271;0.622;0.59;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;std_compac;0.099;0.168;0.156;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;avg_elong;0.498;0.488;0.474;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;med_elong;0.466;0.455;0.433;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;std_elong;0.228;0.232;0.237;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;avg_round;0.578;0.625;0.577;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;med_round;0.595;0.637;0.598;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;std_round;0.152;0.165;0.153;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;avg_convex;0.672;0.984;0.992;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;med_convex;0.684;0.991;1;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;std_convex;0.08;0.027;0.027;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;nber_concave_poly;366;368;110;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;avg_solid;0.836;0.918;0.967;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;med_solid;0.869;0.943;1;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;std_solid;0.107;0.08;0.084;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;avg_rect;0.705;0.772;0.778;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;med_rect;0.719;0.804;0.821;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;std_rect;0.131;0.123;0.154;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;nber_poly_with_hole;71;0;0;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1982;nber_plots;366;368;358;Delft 1982;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;avg_area;1965.218;2219.318;2300.296;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;med_area;506.49;683.645;754.066;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;std_area;2987.006;3194.607;3200.327;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;min_area;151.191;167.215;181.167;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;max_area;16940.943;18021.795;18155.8;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;avg_n_vert;114.094;34.89;5.783;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;med_n_vert;75;30;5;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;std_n_vert;103.497;14.423;1.949;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;avg_perim;305.565;186.34;202.793;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;med_perim;197;122;141.5;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;std_perim;298.806;152.514;150.327;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;avg_compac;0.221;0.63;0.535;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;med_compac;0.201;0.679;0.546;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;std_compac;0.118;0.182;0.17;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;avg_elong;0.491;0.483;0.443;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;med_elong;0.466;0.462;0.4;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;std_elong;0.224;0.226;0.239;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;avg_round;0.474;0.635;0.537;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;med_round;0.457;0.68;0.546;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;std_round;0.17;0.179;0.168;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;avg_convex;0.663;0.994;0.996;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;med_convex;0.691;0.997;1;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;std_convex;0.103;0.012;0.016;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;nber_concave_poly;191;191;48;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;avg_solid;0.681;0.929;0.97;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;med_solid;0.696;0.956;1;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;std_solid;0.16;0.093;0.095;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;avg_rect;0.552;0.739;0.705;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;med_rect;0.558;0.749;0.715;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;std_rect;0.171;0.121;0.16;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;nber_poly_with_hole;28;0;0;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1880;nber_plots;191;191;184;Delft 1880;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;avg_area;4015.915;3928.197;3968.72;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;med_area;2631.321;2690.772;2683.56;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;std_area;5811.997;5555.235;5563.73;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;min_area;150.035;157.74;166.878;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;max_area;85132.643;80135.293;80261.111;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;avg_n_vert;289.164;62.936;6.604;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;med_n_vert;248;63;5;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;std_n_vert;211.074;21.304;4.784;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;avg_perim;376.191;255.05;263.513;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;med_perim;341;238;249;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;std_perim;269.986;163.655;164.737;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;avg_compac;0.305;0.612;0.572;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;med_compac;0.321;0.632;0.599;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;std_compac;0.116;0.17;0.157;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;avg_elong;0.495;0.488;0.469;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;med_elong;0.446;0.429;0.417;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;std_elong;0.228;0.232;0.23;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;avg_round;0.592;0.629;0.581;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;med_round;0.619;0.645;0.606;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;std_round;0.157;0.164;0.152;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;avg_convex;0.706;0.984;0.99;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;med_convex;0.728;0.994;1;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;std_convex;0.093;0.035;0.035;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;nber_concave_poly;377;377;125;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;avg_solid;0.861;0.924;0.961;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;med_solid;0.907;0.959;1;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;std_solid;0.12;0.096;0.1;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;avg_rect;0.737;0.788;0.793;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;med_rect;0.78;0.836;0.848;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;std_rect;0.15;0.138;0.165;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
delft_1961;nber_poly_with_hole;35;0;0;Delft 1961;;;;;;;;;;;;;;;;;;;;;;;;;;;;
