file,avg_area,med_area,std_area,min_area,max_area,avg_n_vert,med_n_vert,std_n_vert,avg_perim,med_perim,std_perim,avg_compac,med_compac,std_compac,avg_elong,med_elong,std_elong,avg_round,med_round,std_round,avg_convex,med_convex,std_convex,nber_concave_poly,avg_solid,med_solid,std_solid,avg_rect,med_rect,std_rect,nber_poly_with_hole,nber_plots
alpha_plots,2441.524,846.632,3828.579,152.469,30780.943,35.643,31.0,13.106,181.843,125.5,153.334,0.7140000000000001,0.7609999999999999,0.17600000000000002,0.562,0.557,0.232,0.72,0.765,0.17,0.994,0.998,0.017,300,0.953,0.976,0.079,0.789,0.802,0.105,0,300
generalized_plots,2497.281,886.0260000000003,3849.2059999999997,183.86,31474.313,5.888999999999999,5.0,2.53,195.933,139.5,150.547,0.6,0.619,0.152,0.513,0.488,0.225,0.603,0.62,0.14800000000000002,0.996,1.0,0.017,57,0.9790000000000001,1.0,0.079,0.753,0.7809999999999999,0.154,0,298
alpha_plots,2440.407,854.1060000000001,3821.141,154.555,30548.338,35.583,31.0,12.968,181.77,125.0,153.259,0.7140000000000001,0.764,0.17600000000000002,0.564,0.556,0.232,0.72,0.765,0.17,0.994,0.998,0.017,299,0.953,0.976,0.079,0.789,0.8029999999999999,0.105,0,300
generalized_plots,2497.281,886.0260000000003,3849.2059999999997,183.86,31474.313,5.888999999999999,5.0,2.53,195.933,139.5,150.547,0.6,0.619,0.152,0.513,0.488,0.225,0.603,0.62,0.14800000000000002,0.996,1.0,0.017,57,0.9790000000000001,1.0,0.079,0.753,0.7809999999999999,0.154,0,298
raw_plots,2217.148,772.334,3389.031,151.191,24316.54,117.867,73.5,121.182,277.78,169.5,299.721,0.343,0.35600000000000004,0.134,0.5720000000000001,0.565,0.229,0.613,0.6409999999999999,0.161,0.732,0.748,0.08800000000000001,300,0.802,0.835,0.12,0.6679999999999999,0.6859999999999999,0.133,30,300
alpha_plots,2442.131,851.5369999999999,3836.841,152.349,30817.924,35.6,31.0,12.985999999999999,181.66299999999998,126.0,152.661,0.7140000000000001,0.765,0.17600000000000002,0.562,0.557,0.231,0.72,0.765,0.17,0.9940000000000001,0.998,0.017,300,0.953,0.976,0.08,0.789,0.8029999999999999,0.105,0,300
generalized_plots,2497.281,886.026,3849.206,183.86,31474.313,5.889,5.0,2.53,195.933,139.5,150.547,0.6,0.619,0.152,0.513,0.488,0.225,0.603,0.62,0.148,0.996,1.0,0.017,57,0.979,1.0,0.079,0.753,0.781,0.154,0,298
