file;avg_area;med_area;std_area;min_area;max_area;avg_n_vert;med_n_vert;std_n_vert;avg_perim;med_perim;std_perim;avg_compac;med_compac;std_compac;avg_elong;med_elong;std_elong;avg_round;med_round;std_round;avg_convex;med_convex;std_convex;nber_concave_poly;avg_solid;med_solid;std_solid;avg_rect;med_rect;std_rect;nber_poly_with_hole;nber_plots
raw_plots;11080.239;7128.107;12942.489;500.443;143498.872;218.096;187;149.047;655.754;544;502.81;0.311;0.301;0.108;0.586;0.565;0.221;0.671;0.7;0.139;0.672;0.691;0.089;633;0.885;0.901;0.066;0.708;0.712;0.103;224;633
alpha_plots;10890.534;7035.763;12781.279;515.677;145729.065;55.748;55.5;16.094;406.449;358.5;242.452;0.7;0.728;0.153;0.58;0.56;0.223;0.713;0.742;0.149;0.99;0.994;0.021;631;0.948;0.963;0.056;0.755;0.771;0.1;0;632
generalized_plots;11198.124;7429.33;12766.102;479.526;143183.887;5.899;5;2.378;438.862;394.5;235.394;0.607;0.633;0.145;0.548;0.529;0.229;0.612;0.636;0.144;0.995;1;0.023;177;0.984;1;0.053;0.716;0.732;0.138;0;616
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;nber_poly_with_hole;224;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1924;nber_plots;633;632;616;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_area;16153.19;16649.936;16762.203;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;med_area;10907.135;10966.752;11072.548;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;std_area;20326.053;21325.324;21355.516;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;min_area;503.261;586.669;0.529;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;max_area;297743.033;295197.612;295617.462;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_n_vert;365.236;54.747;6.719;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;med_n_vert;308;54;6;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;std_n_vert;274.652;17.961;3.887;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_perim;1080.68;517.848;526.144;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;med_perim;812;464;474;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;std_perim;1063.938;302.365;294.96;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_compac;0.202;0.65;0.624;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;med_compac;0.201;0.685;0.66;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;std_compac;0.103;0.164;0.156;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_elong;0.597;0.587;0.571;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;med_elong;0.592;0.582;0.567;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;std_elong;0.227;0.229;0.232;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_round;0.594;0.666;0.631;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;med_round;0.633;0.704;0.665;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;std_round;0.159;0.161;0.152;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_convex;0.568;0.986;0.994;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;med_convex;0.592;0.992;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;std_convex;0.13;0.023;0.022;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;nber_concave_poly;699;697;289;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_solid;0.809;0.918;0.968;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;med_solid;0.856;0.946;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;std_solid;0.135;0.096;0.086;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;avg_rect;0.655;0.739;0.74;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;med_rect;0.674;0.76;0.77;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;std_rect;0.148;0.133;0.151;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;nber_poly_with_hole;463;0;0;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1890;nber_plots;699;697;687;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;avg_area;51869.925;51311.8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;med_area;44344.31;44151.72;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;std_area;49943.245;49146.822;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;min_area;504.943;412.693;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;max_area;233930.8;213336.59;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;avg_n_vert;569.194;13.222;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;med_n_vert;415;8;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;std_n_vert;819.842;19.824;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;avg_perim;1992.537;1449.269;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;med_perim;1374.5;984.5;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;std_perim;2845.764;2023.009;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;avg_compac;0.281;0.498;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;med_compac;0.336;0.595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;std_compac;0.159;0.265;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;avg_elong;0.604;0.598;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;med_elong;0.596;0.595;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;std_elong;0.232;0.236;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;avg_round;0.562;0.566;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;med_round;0.65;0.647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;std_round;0.235;0.231;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;avg_convex;0.67;0.896;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;med_convex;0.719;0.991;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;std_convex;0.13;0.159;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;nber_concave_poly;108;76;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;avg_solid;0.757;0.813;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;med_solid;0.878;0.962;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;std_solid;0.265;0.28;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;avg_rect;0.62;0.647;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;med_rect;0.684;0.708;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;std_rect;0.241;0.251;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;nber_poly_with_hole;23;23;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
bxls_1700;nber_plots;108;108;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
