file;avg_area;med_area;std_area;min_area;max_area;avg_n_vert;med_n_vert;std_n_vert;avg_perim;med_perim;std_perim;avg_compac;med_compac;std_compac;avg_elong;med_elong;std_elong;avg_round;med_round;std_round;avg_convex;med_convex;std_convex;nber_concave_poly;avg_solid;med_solid;std_solid;avg_rect;med_rect;std_rect;nber_poly_with_hole;nber_plots
raw_plots;16153.19;10907.135;20326.053;503.261;297743.033;365.236;308;274.652;1080.68;812;1063.938;0.202;0.201;0.103;0.597;0.592;0.227;0.594;0.633;0.159;0.568;0.592;0.13;699;0.809;0.856;0.135;0.655;0.674;0.148;463;699
alpha_plots;16649.936;10966.752;21325.324;586.669;295197.612;54.747;54;17.961;517.848;464;302.365;0.65;0.685;0.164;0.587;0.582;0.229;0.666;0.704;0.161;0.986;0.992;0.023;697;0.918;0.946;0.096;0.739;0.76;0.133;0;697
generalized_plots;16762.203;11072.548;21355.516;0.529;295617.462;6.719;6;3.887;526.144;474;294.96;0.624;0.66;0.156;0.571;0.567;0.232;0.631;0.665;0.152;0.994;1;0.022;289;0.968;1;0.086;0.74;0.77;0.151;0;687
